actor,region
United Kingdom,Europe
United States,North & Central America
Canada,North & Central America
Switzerland,Europe
Japan,Far East Asia
International Development Association [IDA],Multilaterals
Italy,Europe
Germany,Europe
Sweden,Europe
Australia,Oceania
Austria,Europe
Denmark,Europe
EU Institutions,Multilaterals
Netherlands,Europe
Finland,Europe
Norway,Europe
France,Europe
IFAD,Multilaterals
Kuwait,Middle East
New Zealand,Oceania
Belgium,Europe
Ireland,Europe
Korea,Far East Asia
Luxembourg,Europe
Spain,Europe
OPEC Fund for International Development [OPEC Fund],Multilaterals
Greece,Europe
China (People's Republic of),Far East Asia
Czech Republic,Europe
Turkey,Europe
Israel,Middle East
Portugal,Europe
Slovak Republic,Europe
Islamic Development Bank [IsDB],Multilaterals
UNDP,Multilaterals
Global Fund,Multilaterals
Global Environment Facility [GEF],Multilaterals
UNICEF,Multilaterals
United Arab Emirates,Middle East
IMF (Concessional Trust Funds),Multilaterals
Hungary,Europe
Global Alliance for Vaccines and Immunization [GAVI],Multilaterals
World Trade Organization (WTO),Multilaterals
UNFPA,Multilaterals
Bill & Melinda Gates Foundation,Private
World Health Organisation [WHO],Multilaterals
Iceland,Europe
International Labour Organisation [ILO],Multilaterals
Slovenia,Europe
Asian Development Bank [AsDB],Multilaterals
Poland,Europe
Estonia,Europe
European Bank for Reconstruction and Development [EBRD],Multilaterals
Caribbean Development Bank [CarDB],Multilaterals
UNAIDS,Multilaterals
OSCE,Multilaterals
UNHCR,Multilaterals
UNECE,Multilaterals
MAVA Foundation,Private
Qatar,Middle East
Arab Fund (AFESD),Multilaterals
African Development Fund [AfDF],Multilaterals
African Development Bank [AfDB],Multilaterals
Arab Bank for Economic Development in Africa [BADEA],Multilaterals
Nordic Development Fund [NDF],Multilaterals
Adaptation Fund,Multilaterals
Inter-American Development Bank [IDB],Multilaterals
MetLife Foundation,Private
Cyprus,Europe
Climate Investment Funds [CIF],Multilaterals
Laudes Foundation,Private
Charity Projects Ltd (Comic Relief),Private
H&M Foundation,Private
United Nations Economic and Social Commission for Asia and the Pacific (UNESCAP),Multilaterals
International Bank for Reconstruction and Development [IBRD],Multilaterals
Council of Europe Development Bank [CEB],Multilaterals
Global Green Growth Institute [GGGI],Multilaterals
UN Peacebuilding Fund [UNPBF],Multilaterals
Conrad N. Hilton Foundation,Private
Global Partnership for Education,Multilaterals
UNRWA,Multilaterals
Gatsby Charitable Foundation,Private
Afghanistan,South & Central Asia
Albania,Europe
Algeria,"Africa, North of Sahara"
Angola,"Africa, South of Sahara"
Anguilla,North & Central America
Antigua and Barbuda,North & Central America
Argentina,South America
Armenia,South & Central Asia
Aruba,North & Central America
Azerbaijan,South & Central Asia
Bahamas,North & Central America
Bahrain,Middle East
Bangladesh,South & Central Asia
Barbados,North & Central America
Belarus,Europe
Belize,North & Central America
Benin,"Africa, South of Sahara"
Bermuda,North & Central America
Bhutan,South & Central Asia
Bolivia,South America
Bosnia and Herzegovina,Europe
Botswana,"Africa, South of Sahara"
Brazil,South America
British Virgin Islands,North & Central America
Brunei Darussalam,Far East Asia
Burkina Faso,"Africa, South of Sahara"
Burundi,"Africa, South of Sahara"
Cabo Verde,"Africa, South of Sahara"
Cambodia,Far East Asia
Cameroon,"Africa, South of Sahara"
Cayman Islands,North & Central America
Central African Republic,"Africa, South of Sahara"
Chad,"Africa, South of Sahara"
Chile,South America
Chinese Taipei,Far East Asia
Colombia,South America
Comoros,"Africa, South of Sahara"
Congo,"Africa, South of Sahara"
Cook Islands,Oceania
Costa Rica,North & Central America
Cote d'Ivoire,"Africa, South of Sahara"
Croatia,Europe
Cuba,North & Central America
Democratic People's Republic of Korea,Far East Asia
Democratic Republic of the Congo,"Africa, South of Sahara"
Djibouti,"Africa, South of Sahara"
Dominica,North & Central America
Dominican Republic,North & Central America
Ecuador,South America
Egypt,"Africa, North of Sahara"
El Salvador,North & Central America
Equatorial Guinea,"Africa, South of Sahara"
Eritrea,"Africa, South of Sahara"
Eswatini,"Africa, South of Sahara"
Ethiopia,"Africa, South of Sahara"
Fiji,Oceania
French Polynesia,Oceania
Gabon,"Africa, South of Sahara"
Gambia,"Africa, South of Sahara"
Georgia,South & Central Asia
Ghana,"Africa, South of Sahara"
Gibraltar,Europe
Grenada,North & Central America
Guatemala,North & Central America
Guinea-Bissau,"Africa, South of Sahara"
Guinea,"Africa, South of Sahara"
Guyana,South America
Haiti,North & Central America
Honduras,North & Central America
Hong Kong (China),Far East Asia
India,South & Central Asia
Indonesia,Far East Asia
Iran,Middle East
Iraq,Middle East
Jamaica,North & Central America
Jordan,Middle East
Kazakhstan,South & Central Asia
Kenya,"Africa, South of Sahara"
Kiribati,Oceania
Kosovo,Europe
Kyrgyzstan,South & Central Asia
Lao People's Democratic Republic,Far East Asia
Lebanon,Middle East
Lesotho,"Africa, South of Sahara"
Liberia,"Africa, South of Sahara"
Libya,"Africa, North of Sahara"
Macau (China),Far East Asia
Madagascar,"Africa, South of Sahara"
Malawi,"Africa, South of Sahara"
Malaysia,Far East Asia
Maldives,South & Central Asia
Mali,"Africa, South of Sahara"
Malta,Europe
Marshall Islands,Oceania
Mauritania,"Africa, South of Sahara"
Mauritius,"Africa, South of Sahara"
Mayotte,"Africa, South of Sahara"
Mexico,North & Central America
Micronesia,Oceania
Moldova,Europe
Mongolia,Far East Asia
Montenegro,Europe
Montserrat,North & Central America
Morocco,"Africa, North of Sahara"
Mozambique,"Africa, South of Sahara"
Myanmar,Far East Asia
Namibia,"Africa, South of Sahara"
Nauru,Oceania
Nepal,South & Central Asia
Netherlands Antilles,North & Central America
New Caledonia,Oceania
Nicaragua,North & Central America
Niger,"Africa, South of Sahara"
Nigeria,"Africa, South of Sahara"
Niue,Oceania
North Macedonia,Europe
Northern Mariana Islands,Oceania
Oman,Middle East
Pakistan,South & Central Asia
Palau,Oceania
Palestinian Adm. Areas,Middle East
Panama,North & Central America
Papua New Guinea,Oceania
Paraguay,South America
Peru,South America
Philippines,Far East Asia
Russia,Europe
Rwanda,"Africa, South of Sahara"
Saint Helena,"Africa, South of Sahara"
Saint Kitts and Nevis,North & Central America
Saint Lucia,North & Central America
Saint Vincent and the Grenadines,North & Central America
Samoa,Oceania
Sao Tome and Principe,"Africa, South of Sahara"
Saudi Arabia,Middle East
Senegal,"Africa, South of Sahara"
Serbia,Europe
Seychelles,"Africa, South of Sahara"
Sierra Leone,"Africa, South of Sahara"
Singapore,Far East Asia
Solomon Islands,Oceania
Somalia,"Africa, South of Sahara"
South Africa,"Africa, South of Sahara"
South Sudan,"Africa, South of Sahara"
Sri Lanka,South & Central Asia
Sudan,"Africa, South of Sahara"
Suriname,South America
Syrian Arab Republic,Middle East
Tajikistan,South & Central Asia
Tanzania,"Africa, South of Sahara"
Thailand,Far East Asia
Timor-Leste,Far East Asia
Togo,"Africa, South of Sahara"
Tokelau,Oceania
Tonga,Oceania
Trinidad and Tobago,North & Central America
Tunisia,"Africa, North of Sahara"
Turkmenistan,South & Central Asia
Turks and Caicos Islands,North & Central America
Tuvalu,Oceania
Uganda,"Africa, South of Sahara"
Ukraine,Europe
Uruguay,South America
Uzbekistan,South & Central Asia
Vanuatu,Oceania
Venezuela,South America
Viet Nam,Far East Asia
Wallis and Futuna,Oceania
Yemen,Middle East
Zambia,"Africa, South of Sahara"
Zimbabwe,"Africa, South of Sahara"
